Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,39.99869918823242,40.56326583298269,39.810512482054385,39.9131600729795,27913900
2015-01-05,39.63087463378906,39.97303432554665,39.56244073757288,39.66508831878938,39673900
2015-01-06,39.04920196533203,39.99014525430785,38.955106983812854,39.67364662264987,36447900
2015-01-07,39.54534149169922,39.74208409457034,38.91234411952407,39.331490410781676,29114100
2015-01-08,40.708683013916016,40.845547545323676,39.964482328331094,39.990143408248834,29645200
2015-01-09,40.36653137207031,40.90543704319949,40.118466582726555,40.72580290719267,23944200
2015-01-12,39.86184310913086,40.66592532090056,39.65654788369388,40.5632744450733,23651900
2015-01-13,39.65653610229492,40.982411854964695,39.39991551518268,40.17833314518425,35270600
2015-01-14,39.31437301635742,39.55388839157753,39.02353548174627,39.31437301635742,29719600
2015-01-15,38.903785705566406,39.67365085178215,38.84390766787277,39.53678629946695,32750800
2015-01-16,39.55389404296875,39.588107733081905,38.6386084913913,38.75836782766626,35695300
2015-01-20,39.68220520019531,39.904612146910836,38.98077393090814,39.60521868219509,36161900
2015-01-21,39.28015899658203,39.46834896333392,38.90378232618628,39.29726747202384,39081100
2015-01-22,40.31520462036133,40.32375722739159,39.41703077919931,39.67365141051583,35898000
2015-01-23,40.35797119140625,40.537605293706996,40.032916675499095,40.51194421140921,26211600
2015-01-26,40.21254348754883,40.31519432434634,39.5538852318562,40.203990882702804,42525500
2015-01-27,36.491539001464844,36.95345800147131,36.02106739617279,36.739606975146955,169164000
2015-01-28,35.234107971191406,36.60275704324611,35.208446881995236,36.55998747354949,84507100
2015-01-29,35.93553161621094,36.0296266071423,34.891940635328965,35.011696709929495,63585300
2015-01-30,34.55833053588867,35.5677077398126,34.51555771595839,35.542043395232824,78004900
2015-02-02,35.311092376708984,35.388078902773096,34.4129184147002,34.72086451895665,50352500
2015-02-03,35.58481979370117,35.86710479659553,35.11434805198589,35.61048414321525,52082400
2015-02-04,35.79011154174805,36.10661017927648,35.37951792095516,35.87565065574772,41614800
2015-02-05,36.311912536621094,36.47443817598829,35.807223878144825,36.11516994272131,36548200
2015-02-06,36.27769470214844,36.6027492361068,36.05529102929796,36.50865424497873,34616600
2015-02-09,36.23492431640625,36.55997884296224,36.10661237449756,36.13227672074424,31381100
2015-02-10,36.44021224975586,36.58563263916217,36.08094410494188,36.559971561134766,29670700
2015-02-11,36.252044677734375,36.48300429102286,36.10662421168934,36.48300429102286,38262500
2015-02-12,36.8593635559082,36.8593635559082,36.363227601435405,36.49153952431154,33268800
2015-02-13,37.52656936645508,37.52656936645508,36.910680757884606,37.10742326953558,40264900
2015-02-17,37.54380416870117,37.90562905038026,37.2078196961469,37.87978535492591,33695700
2015-02-18,37.50074768066406,37.647203037258855,37.38013932013386,37.58689885699375,27111700
2015-02-19,37.47489547729492,37.500739181170715,37.087223487505064,37.19921834818449,27603400
2015-02-20,37.78502655029297,37.80225677868106,37.29397654338739,37.48350248299636,29721100
2015-02-23,38.03486251831055,38.06931969109935,37.60411663831306,37.64719056904676,32518800
2015-02-24,37.98318099975586,38.16409352431251,37.83672565630686,38.034871700913925,25271700
2015-02-25,37.89702606201172,37.98317392823886,37.73334051531752,37.86256560098868,29759800
2015-02-26,37.95731735229492,38.10376933247752,37.810862085783,37.89701320912217,28957300
2015-02-27,37.77642059326172,38.07794474676448,37.612738306272895,38.01764057333013,33807700
2015-03-02,37.80227279663086,38.06933323398271,37.51797883725852,37.621356965061445,31924000
2015-03-03,37.285377502441406,37.759200792429446,37.12169518447474,37.526597528162114,31748600
2015-03-04,37.0958366394043,37.225058432549204,36.94076785856618,37.05275942202571,25748700
2015-03-05,37.138919830322266,37.25091470803583,36.88908636708859,37.10445936235946,23193500
